timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896056395735922,43.66093241666667,-79.39500986666667,74.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896057391012898,43.66093241666667,-79.39500986666667,74.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896058401261056,43.66093241666667,-79.39500986666667,74.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896059393204758,43.66093241666667,-79.39500986666667,74.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896060441380123,43.66093241666667,-79.39500986666667,74.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896061394338037,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896062398316399,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896063395032792,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896064430402079,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896065417636102,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896066400779055,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896067413900049,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896068401753308,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896069404906374,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896070410866152,43.66093241666667,-79.39500986666667,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896071403343812,43.66093241666667,-79.39500986666667,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896072418002820,43.66093241666667,-79.39500986666667,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896073418694880,43.66093241666667,-79.39500986666667,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896074426819296,43.66093801666667,-79.39499031666666,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896075429088150,43.66094373333333,-79.39497065,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896076444310769,43.660949333333335,-79.39495098333333,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896077454081950,43.660949333333335,-79.39495098333333,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896078471492915,43.660949333333335,-79.39495098333333,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896079438341427,43.660949333333335,-79.39495098333333,72.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896080457090034,43.660949333333335,-79.39495098333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896081459535549,43.660949333333335,-79.39495098333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896082455503316,43.660949333333335,-79.39495098333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896083446559543,43.6609528,-79.39494323333334,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896084456104130,43.66095923333334,-79.39493261666667,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896085450509442,43.66096876666667,-79.39491975,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896086458781492,43.660978666666665,-79.39491235,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896087450307730,43.66098891666667,-79.39490413333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896088433772427,43.66099928333333,-79.39489555,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896089422418449,43.661008466666665,-79.39488671666666,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896090433601726,43.661016933333336,-79.3948791,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896091427512645,43.66102551666667,-79.3948717,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896092437429915,43.66103445,-79.39486276666666,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896093437603694,43.661043283333335,-79.39485418333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896094437520822,43.66105115,-79.39484703333333,69.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896095428005300,43.66105925,-79.39484095,69.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896096431530821,43.661068433333334,-79.3948332,69.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896097431976183,43.66107785,-79.39482318333333,69.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896098476876751,43.66108583333333,-79.39481316666667,69.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896099441456300,43.66109335,-79.3948034,69.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896100433262311,43.661100733333335,-79.39479361666666,69.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896101428684795,43.66110801666667,-79.3947836,69.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896102440065750,43.6611142,-79.39477455,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896103425093052,43.66111968333333,-79.39476608333334,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896104435372956,43.66112505,-79.39475773333334,68.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
