timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896253550805256,43.661912316666665,-79.39420376666666,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896254549592578,43.6619122,-79.3942176,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896255516169758,43.66191315,-79.3942306,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896256557350087,43.661914333333335,-79.39424216666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896257537642493,43.66191576666667,-79.39425145,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896258552598813,43.6619166,-79.3942579,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896259520965657,43.6619172,-79.39426195,70.0,0,1,1.6900000000000002,0.0,0.0,0.0,1.6900000000000002,0.0,0.0,0.0,6.760000000000001
1769896260565371770,43.66191731666667,-79.39426516666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896261541242092,43.6619172,-79.39426921666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896262558495033,43.66191826666667,-79.39427685,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896263550531799,43.66192053333333,-79.39428626666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896264559344835,43.66192351666667,-79.39429628333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896265539435380,43.66192543333333,-79.39430533333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896266555031498,43.66192638333333,-79.39431475,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896267542372626,43.66192673333333,-79.39432525,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896268575257788,43.66192638333333,-79.39433681666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896269524251295,43.66192626666667,-79.39434908333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896270577525950,43.66192698333333,-79.39436291666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896271527182936,43.66192853333333,-79.3943765,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896272565817039,43.66192995,-79.39438855,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896273543041115,43.66193103333333,-79.39439868333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896274569135529,43.66193138333333,-79.39440881666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896275511045522,43.6619315,-79.39442025,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896276567906107,43.66193138333333,-79.39443313333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896277506769578,43.66193115,-79.39444671666666,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896278569148734,43.66193091666667,-79.39445983333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896279521276005,43.6619302,-79.39447188333334,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896280550215660,43.6619296,-79.3944832,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896281525721535,43.661929,-79.39449333333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896282548320384,43.66192793333333,-79.39450263333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896283547864261,43.6619259,-79.39451156666667,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896284552501897,43.6619228,-79.3945217,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896285541125971,43.66191898333334,-79.39453278333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896286548062637,43.661914816666666,-79.39454435,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896287568300060,43.661909683333334,-79.39455603333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896288572754444,43.6619035,-79.39456866666667,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896289538339670,43.66189658333333,-79.39458166666667,71.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896290550451352,43.6618899,-79.39459466666666,71.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896291527125374,43.6618843,-79.39460765,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896292548576937,43.661879533333334,-79.39462088333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896293522500976,43.661875116666664,-79.39463388333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896294550717524,43.66187083333333,-79.39464651666667,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896295522734583,43.66186653333333,-79.3946588,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896296592872152,43.66186153333334,-79.39467071666667,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896297528036037,43.661855816666666,-79.39468346666666,71.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896298574195784,43.6618502,-79.39469753333333,71.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896299525741631,43.661845316666664,-79.39471291666666,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896300565757235,43.66184115,-79.39472805,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896301529877338,43.66183685,-79.39474188333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896302572439625,43.66183173333334,-79.39475595,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
